TEMPS SLEEP= 5000000;;;;;;;;;;;;;;;;;;;TEMPS SLEEP= 2500000;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;limit=20;;;;;limit=10;;;;;limit=200;;;
limit = 20;;;;;limit=10;;;;;limit=200;;;;limit=50;;;;;0,398405;;;;;0,398522;;;;;0,396965;;;
0,400182;;;;;0,398727;;;;;0,39865;;;;0,393076;;;;;0,397601;;;;;0,397473;;;;;0,401753;;;
0,399813;;;;;0,398915;;;;;0,402775;;;;0,396607;;;;;0,39952;;;;;0,400106;;;;;0,396461;;;
0,399547;;;;;0,399723;;;;;0,399368;;;;0,399532;;;;;0,399666;;;;;0,39802;;;;;0,401922;;;
0,399528;;;;;0,400018;;;;;0,398475;;;;0,39927;;;;;0,397919;;;;;0,397408;;;;;0,396637;;;
0,399605;;;;;0,39923;;;;;0,39854;;;;0,400668;;;;;0,396237;;;;;0,397199;;;;;0,401078;;;
0,399358;;;;;0,399474;;;;;0,402963;;;;0,399826;;;;;0,394804;;;;;0,396422;;;;;0,396606;;;
0,400468;;;;;0,399825;;;;;0,396236;;;;0,399654;;;;;0,396304;;;;;0,396677;;;;;0,402041;;;
0,399973;;;;;0,39967;;;;;0,402238;;;;0,399896;;;;;0,400006;;;;;0,39774;;;;;0,398728;;;
0,399056;;;;;0,398279;;;;;0,397953;;;;0,398228;;;;;0,395941;;;;;0,399067;;;;;0,402487;;;
0,399778;;;;;0,398451;;;;;0,398314;;;;0,398443;;;;;0,39535;;;;;0,398393;;;;;0,396394;;;
0,398835;;;;;0,401272;;;;;0,401758;;;;0,399405;;;;;0,39612;;;;;0,398115;;;;;0,401764;;;
0,409217;;;;;0,400213;;;;;0,400169;;;;0,399258;;;;;0,397438;;;;;0,396501;;;;;0,397112;;;
0,396968;;;;;0,39955;;;;;0,39824;;;;0,417474;;;;;0,39613;;;;;0,396986;;;;;0,401876;;;
0,398335;;;;;0,398307;;;;;0,399118;;;;0,407106;;;;;0,396171;;;;;0,396482;;;;;0,405254;;;
0,398992;;;;;0,400731;;;;;0,399921;;;;0,395794;;;;;0,396434;;;;;0,398069;;;;;0,399973;;;
0,398884;;;;;0,400314;;;;;0,401508;;;;0,393249;;;;;0,397276;;;;;0,398213;;;;;0,396643;;;
0,400222;;;;;0,397581;;;;;0,398243;;;;0,394828;;;;;0,398539;;;;;0,398072;;;;;0,401242;;;
0,398031;;;;;0,399048;;;;;0,398451;;;;0,394962;;;;;0,395373;;;;;0,397199;;;;;0,396177;;;
0,399665;;;;;0,4012;;;;;0,398657;;;;0,400301;;;;;0,39631;;;;;0,397051;;;;;0,400112;;;
0,399819;;;;;0,400693;;;;;0,402872;;;;0,399455;;;;;0,396507;;;;;0,395769;;;;;0,399002;;;
0,399781;;;;;0,400641;;;;;0,396983;;;;0,398321;;;;;0,397799;;;;;0,396421;;;;;0,398046;;;
0,400311;;;;;0,400138;;;;;0,402645;;;;0,402109;;;;;0,397841;;;;;0,396233;;;;;0,40229;;;
0,397558;;;;;0,399431;;;;;0,397959;;;;0,398374;;;;;0,397285;;;;;0,396699;;;;;0,400333;;;
0,39823;;;;;0,399938;;;;;0,398383;;;;0,399208;;;;;0,396696;;;;;0,397943;;;;;0,405495;;;
